painting_title,color_name,color_hex
A Walk In The Woods,Alizarin Crimson,#4E1500
A Walk In The Woods,Bright Red,#DB0000
A Walk In The Woods,Cadmium Yellow,#FFEC00
A Walk In The Woods,Phthalo Green,#102E3C
A Walk In The Woods,Prussian Blue,#021E44
A Walk In The Woods,Sap Green,#0A3410
A Walk In The Woods,Titanium White,#FFFFFF
A Walk In The Woods,Van Dyke Brown,#221B15
Mount Mckinley,Alizarin Crimson,#4E1500
Mount Mckinley,Bright Red,#DB0000
Mount Mckinley,Cadmium Yellow,#FFEC00
Mount Mckinley,Phthalo Green,#102E3C
Mount Mckinley,Prussian Blue,#021E44
Mount Mckinley,Sap Green,#0A3410
Mount Mckinley,Titanium White,#FFFFFF
Mount Mckinley,Van Dyke Brown,#221B15
Ebony Sunset,Alizarin Crimson,#4E1500
Ebony Sunset,Black Gesso,#000000
Ebony Sunset,Bright Red,#DB0000
Ebony Sunset,Cadmium Yellow,#FFEC00
Ebony Sunset,Phthalo Green,#102E3C
Ebony Sunset,Prussian Blue,#021E44
Ebony Sunset,Sap Green,#0A3410
Ebony Sunset,Titanium White,#FFFFFF
Ebony Sunset,Van Dyke Brown,#221B15
Winter Mist,Prussian Blue,#021E44
Winter Mist,Titanium White,#FFFFFF
Winter Mist,Van Dyke Brown,#221B15
Quiet Stream,Alizarin Crimson,#4E1500
Quiet Stream,Bright Red,#DB0000
Quiet Stream,Cadmium Yellow,#FFEC00
Quiet Stream,Phthalo Green,#102E3C
Quiet Stream,Prussian Blue,#021E44
Quiet Stream,Sap Green,#0A3410
Quiet Stream,Titanium White,#FFFFFF
Quiet Stream,Van Dyke Brown,#221B15
Winter Moon,Black Gesso,#000000
Winter Moon,Prussian Blue,#021E44
Winter Moon,Titanium White,#FFFFFF
Winter Moon,Van Dyke Brown,#221B15
Autumn Mountain,Alizarin Crimson,#4E1500
Autumn Mountain,Bright Red,#DB0000
Autumn Mountain,Cadmium Yellow,#FFEC00
Autumn Mountain,Phthalo Green,#102E3C
Autumn Mountain,Prussian Blue,#021E44
